Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,mTORC1 Signaling,0.48792118402756596,2.1337970304909666,0.00816326530612245,0.09225608051439754,0.036,101/199,29.12%,PHGDH;CDC25A;MLLT11;BUB1;PLK1;RRM2;EGLN3;AURKA;PSAT1;FADS2;GCLC;MCM2;ELOVL6;MTHFD2;SLC7A5;CCNF;PLOD2;SLC2A1;FADS1;PDK1;TRIB3;STC1;MCM4;SQLE;SLC7A11;ALDOA;TOMM40;SORD;AK4;SHMT2;DDIT3;UNG;RDH11;TUBG1;IGFBP5;GLA;NFKBIB;ME1;POLR3G;SLC2A3;PSPH;GMPS;PSMD14;TMEM97;PSMC4;PSMG1;ERO1A;ADIPOR2;HMBS;PNO1;TXNRD1;G6PD;YKT6;GPI;SDF2L1;EEF1E1;DHCR7;HSPE1;HMGCS1;DDX39A;TBK1;STARD4;HSPD1;PNP;EBP;ATP5MC1;NUP205;GSK3B;SCD;NUFIP1;ACLY;DHFR;HPRT1;STIP1;IMMT;NMT1;PSMB5;PSMA4;PSME3;TPI1;HSP90B1;P4HA1;TCEA1;GAPDH;ELOVL5;CYB5B;COPS5;GOT1;CCT6A;SLC1A4;RRP9;HK2;EIF2S2;PITPNB;RPN1;WARS1;CACYBP;ATP2A2;PSMD13;ACSL3;NAMPT
gsea,G2-M Checkpoint,0.7238245469436301,2.1152699804067847,0.001,0.053117137265865255,0.041,88/198,13.81%,TROAP;ESPL1;CENPA;TTK;CDC25A;HOXC10;KIF23;AURKB;CDC45;RAD54L;KIF4A;EXO1;NDC80;ORC6;E2F2;CDC6;POLQ;NEK2;KIF2C;CDKN3;MYBL2;BUB1;PBK;PLK1;KNL1;KIF15;CENPE;BIRC5;MKI67;GINS2;UCK2;CENPF;CHEK1;CCNA2;MAD2L1;STIL;HMMR;TPX2;PLK4;CCNB2;CDC20;AURKA;KIF11;TRAIP;UBE2S;CDK1;UBE2C;TOP2A;FBXO5;BRCA2;MCM2;E2F1;KIF20B;PRC1;SLC7A5;RACGAP1;CCNF;CDC7;TACC3;EZH2;INCENP;KPNA2;RBL1;PTTG1;SUV39H1;STMN1;POLE;LMNB1;DBF4;POLA2;SQLE;PRIM2;MCM6;SLC38A1;CHAF1A;NUSAP1;HMGA1;CKS1B;H2AX;TMPO;MCM5;KIF22;NSD2;DTYMK;BARD1;HMGB3;SNRPD1;LIG3
gsea,Spermatogenesis,0.553806531801019,2.0358436958890067,0.001,0.07455036809244246,0.076,46/132,11.99%,NCAPH;YBX2;TTK;NEK2;KIF2C;CDKN3;BUB1;TNNI3;ADAM2;CCNB2;CLGN;AURKA;IL12RB2;DMC1;SCG5;CDK1;SLC2A5;HSPA2;ACRV1;TKTL1;TULP2;PCSK1N;SCG3;RPL39L;RFC4;EZH2;NPY5R;CNIH2;SYCP1;TUBA3C;POMC;DMRT1;HOXB1;PGK2;ELOVL3;DBF4;ACRBP;NEFH;LDHC;CHFR;GSTM3;TOPBP1;NAA11;GRM8;GAPDHS;GAD1
gsea,E2F Targets,0.7129140382661803,2.0031417335636443,0.001,0.0726866088901314,0.093,91/200,14.16%,CDCA3;KIF18B;ESPL1;CDC25A;AURKB;BUB1B;KIF4A;DEPDC1;CCNE1;ORC6;SPC25;KIF2C;CDKN3;MYBL2;DLGAP5;PLK1;MELK;RAD51AP1;CENPE;GINS1;BIRC5;E2F8;GINS4;DSCC1;MKI67;HELLS;SPAG5;RRM2;TRIP13;CHEK1;MAD2L1;HMMR;PLK4;DIAPH3;CCNB2;BRCA1;CDC20;SPC24;AURKA;CDCA8;UBE2S;PSMC3IP;GINS3;CENPM;CDK1;TOP2A;BRCA2;MCM2;CHEK2;MTHFD2;RACGAP1;MMS22L;TACC3;ATAD2;UBE2T;TIMELESS;EZH2;ASF1B;KPNA2;TK1;PTTG1;SUV39H1;STMN1;POLE;MCM4;LMNB1;RFC3;NCAPD2;CTPS1;MXD3;POLA2;PRIM2;NUP107;MCM6;TCF19;HMGA1;CKS1B;NME1;UNG;RANBP1;H2AX;TMPO;MCM5;KIF22;DONSON;BARD1;HMGB3;MSH2;TUBG1;LIG1;RNASEH2A
gsea,Glycolysis,0.4053529636128565,1.9667767589000469,0.021611001964636542,0.07743919485602462,0.114,41/198,15.43%,CENPA;ARTN;DEPDC1;STC2;KIF20A;EGLN3;HMMR;AURKA;CDK1;GCLC;TKTL1;GAL3ST1;PLOD2;CHST1;CHST6;PKP2;BIK;VCAN;STMN1;STC1;SPAG4;CLDN9;DPYSL4;B4GALT4;B3GNT3;LDHC;SLC25A10;DSC2;ALDOA;MIOX;GAPDHS;ANGPTL4;EFNA3;IGFBP3;AK4;TFF3;COL5A1;PFKP;HOMER1;ME1;CLDN3
gsea,Mitotic Spindle,0.5438754505577028,1.940490853198902,0.005917159763313609,0.0752492777933091,0.127,36/198,7.36%,ESPL1;TTK;KIF23;PIF1;KIF4A;NDC80;NEK2;KIF2C;KIF3C;BUB1;DLGAP5;PLK1;KIF15;CENPE;BIRC5;CENPF;TPX2;CCNB2;ANLN;AURKA;KIF11;CDK1;TOP2A;KNTC1;FBXO5;BRCA2;KIF20B;PRC1;RACGAP1;PLEKHG2;RHOF;INCENP;WASF1;ECT2;SASS6;LMNB1
gsea,Unfolded Protein Response,0.44846218225513507,1.905941996273228,0.014256619144602852,0.07967570589879787,0.145,53/112,32.44%,STC2;PSAT1;CHAC1;IGFBP1;MTHFD2;SLC7A5;EIF4EBP1;CEBPG;CKS1B;H2AX;XPOT;EXOSC4;DNAJA4;TUBB2A;ERO1A;TARS1;NOP56;PDIA5;LSM1;EXOSC5;CNOT2;PDIA6;DKC1;PREB;EIF4A3;POP4;EXOSC1;WIPI1;FKBP14;ALDH18A1;HYOU1;ZBTB17;ARFGAP1;BANF1;NOLC1;SRPRB;EDC4;HSP90B1;YWHAZ;SLC1A4;RRP9;EIF2S1;EXOSC2;HSPA9;NFYB;EIF4G1;LSM4;ATF4;PAIP1;KHSRP;EIF2AK3;YIF1A;SHC1
gsea,UV Response Up,0.38010123041428373,1.8909307845108332,0.016632016632016633,0.07810315907184792,0.158,46/157,19.11%,CCNE1;GGH;GAL;CTSV;SHOX2;CHRNA5;NKX2-5;HSPA2;COL2A1;TACR3;CLCN2;SLC6A8;NPTX2;MSX1;RFC4;LHX2;KCNH2;FEN1;CCK;FMO1;CDK2;FGF18;TYRO3;ALDOA;CEBPG;C4BPB;AGO2;DLG4;PPAT;H2AX;IL6;CYP1A1;TCHH;PDLIM3;RET;IGFBP2;E2F5;MAPK8IP2;FURIN;FKBP4;BID;GCH1;TARS1;MMP14;YKT6;HSPA13
gsea,Myc Targets V2,0.5761048097588545,1.8617832987849408,0.02066115702479339,0.08231603143540522,0.175,40/57,29.30%,PLK1;PLK4;PUS1;MCM4;NOP2;SORD;UNG;AIMP2;MCM5;NOC4L;SLC29A2;BYSL;RRP12;UTP20;TCOF1;TBRG4;CDK4;TMEM97;HSPE1;WDR43;SRM;NOP56;EXOSC5;HSPD1;PA2G4;NIP7;MRTO4;SUPV3L1;NDUFAF4;MYBBP1A;NOLC1;PES1;SLC19A1;RRP9;HK2;GRWD1;IMP4;PPRC1;MPHOSPH10;DCTPP1
gsea,Hypoxia,0.38536806350997316,1.82100837798096,0.04259634888438134,0.09337433603578418,0.204,41/198,14.61%,HOXB9;STC2;B4GALNT2;INHA;ENO3;SLC2A5;PGF;TKTL1;CSRP2;IGFBP1;SCARB1;SLC2A1;CA12;AKAP12;TMEM45A;LALBA;PKP1;ADM;PCK1;PDK1;KIF5A;NOCT;STC1;DPYSL4;SULT2B1;BRS3;LDHC;SERPINE1;ALDOA;PDGFB;GAPDHS;ANGPTL4;EFNA3;IGFBP3;AK4;DDIT3;PLIN2;IL6;COL5A1;PFKP;DTNA
