Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,IL-17 signaling pathway,0.6281793630612564,2.349145968369347,1.000000e-03,1.857776e-02,1.300000e-02,33/94,10.36%,FOSL1;IL6;CCL7;MMP1;CXCL5;CXCL8;MMP3;CCL11;CXCL3;IL1B;S100A8;PTGS2;S100A7;CXCL1;MMP9;CXCL6;MMP13;CCL20;CSF3;DEFB4A;TNFAIP3;IFNG;CXCL10;CCL2;IL17C;FADD;S100A9;IL17B;MAPK11;MUC5AC;MAPK12;FOSB;MAPK6
gsea,Rheumatoid arthritis,0.6670337499419613,2.2198066579486015,1.000000e-03,4.210959e-02,4.200000e-02,31/89,7.20%,IL11;IL6;MMP1;CXCL5;CXCL8;MMP3;IL1A;CXCL3;IL1B;TNFSF11;CXCL1;CCL3;CXCL6;CCL20;TGFB3;IL15;CTSK;TLR4;CD80;FLT1;IL23A;CCL3L3;CXCL12;CD86;IFNG;CCL2;CTSL;CTLA4;CD28;TNFSF13B;TGFB2
gsea,Cellular senescence,0.46007688869514884,2.1823340543349667,1.972387e-03,4.747649e-02,6.200000e-02,47/156,18.12%,IL6;CXCL8;IL1A;KIR2DL4;CDK6;SERPINE1;CHEK1;CCNE1;CCNA2;FOXM1;MYBL2;CDC25A;CCNB2;TGFB3;AKT3;CDK1;E2F2;CCNB1;IGFBP3;RBL1;CCNA1;MRAS;GADD45A;TGFB2;ETS1;MAPK11;MYC;MAPK12;TRPV4;CDKN1A;EIF4EBP1;HLA-G;GADD45B;TGFBR1;ZFP36L2;NBN;NRAS;PIK3CA;HIPK4;RB1;CCNB3;TGFB1;FOXO1;E2F1;CDK2;LIN9;E2F3
gsea,TNF signaling pathway,0.5374576500850567,2.142608524754173,6.185567e-03,5.975846e-02,8.200000e-02,43/111,16.98%,IL6;CXCL5;MMP3;CXCL3;IL1B;VCAM1;IL18R1;PTGS2;CXCL1;MMP9;CXCL6;CCL20;IL15;AKT3;JAG1;TNFAIP3;SELE;BIRC3;LIF;FAS;CXCL10;CCL2;MMP14;CREB5;NOD2;MLKL;FADD;SOCS3;MAPK11;MAPK12;IRF1;EDN1;BCL3;JUNB;PIK3CA;CEBPB;TRAF3;CXCL2;MAP3K5;TNFRSF1B;DNM1L;CCL5;RPS6KA4
gsea,Cell cycle,0.6037963340138782,2.1121183838782236,3.795066e-03,6.440290e-02,9.800000e-02,52/124,18.12%,BUB1B;MAD2L1;CDK6;TTK;PKMYT1;CHEK1;BUB1;CCNE1;CDC6;PLK1;CCNA2;ORC1;CDC25A;CDC25C;ESPL1;CDC45;CCNB2;TGFB3;CDK1;CDC20;ORC6;DBF4;MCM2;E2F2;CCNB1;RBL1;CCNA1;CDC7;GADD45A;TGFB2;MYC;SKP2;CDKN1A;MCM6;MAD1L1;PTTG1;MCM4;GADD45B;ANAPC1;MAD2L2;CDC27;RB1;STAG1;MCM5;CDKN2D;CCNB3;TGFB1;HDAC2;YWHAG;E2F1;CDK2;E2F3
gsea,Glyoxylate and dicarboxylate metabolism,-0.5846726099852252,-2.0784686742234944,5.893910e-03,2.548689e-01,1.250000e-01,15/29,27.79%,ACSS1;AMT;GCSH;PCCA;HAO2;HOGA1;ACSS2;SHMT1;ACAT1;MCEE;AGXT;CAT;GLYCTK;HAO1;MMUT
gsea,Human T-cell leukemia virus 1 infection,0.4578972889341189,2.0724607570642717,1.012146e-02,7.369177e-02,1.180000e-01,85/217,24.27%,FOSL1;IL6;IL1R2;IL2RA;BUB1B;MAD2L1;CHEK1;MSX2;CCNE1;SLC2A1;CCNA2;MSX1;ESPL1;CCNB2;TGFB3;IL15;EGR2;AKT3;CDC20;IL15RA;IL2RB;E2F2;ADCY3;CREB5;CCNA1;TLN2;TGFB2;RELB;ETS1;MYC;CDKN1A;MAD1L1;JAK3;PTTG1;HLA-G;CD40;TGFBR1;IL2RG;CD3G;ANAPC1;SPI1;LCK;NRAS;NRP1;CDC27;PIK3CA;ITGB2;RB1;TGFB1;ADCY4;CD3E;E2F1;NFKB2;CDK2;E2F3;CD4;TCF3;STAT5A;CHEK2;MMP7;CCND2;TNFRSF1A;PRKACB;TBPL1;RANBP1;SMAD3;JAK1;CCND1;PIK3CD;MAP2K1;ELK1;EGR1;CCNE2;CHUK;CDKN2B;IL1R1;BUB3;CD3D;RAN;BCL2L1;VDAC2;CREB3L2;TLN1;LTBR;TRRAP
gsea,"Valine, leucine and isoleucine degradation",-0.5487281861856478,-2.06696934647467,7.575758e-03,1.408688e-01,1.340000e-01,22/48,17.65%,ABAT;HMGCS2;BCKDHA;ACADSB;ACAD8;ALDH6A1;ALDH3A2;MCCC1;AGXT2;PCCA;ACSF3;HADH;HIBCH;HMGCLL1;IVD;ALDH2;ACAT1;BCAT2;ACADS;OXCT2;MCEE;ALDH7A1
gsea,Phagosome,0.4900695353740537,2.0356205396215383,1.397206e-02,8.811165e-02,1.500000e-01,46/148,13.03%,THBS2;FCAR;FCGR3B;CD209;TLR6;ITGB3;ITGA5;FCGR1A;TUBB3;TUBB6;ITGA2;FCGR2B;TLR4;MPO;COMP;THBS1;MSR1;NCF1;ITGAM;CTSL;FCGR3A;PLA2R1;MRC2;NCF2;MRC1;OLR1;ITGAV;FCGR2A;MARCO;CD14;TUBA3C;SCARB1;TAP2;TUBA1C;ITGB5;C1R;CYBB;TUBAL3;TUBA1B;HLA-G;TUBA4A;ATP6V0D2;CLEC7A;TAP1;DYNC1I1;COLEC12
gsea,Human cytomegalovirus infection,0.42694359170804813,2.0330251071360164,6.060606e-03,7.864584e-02,1.520000e-01,80/223,22.29%,IL6;CXCL8;CDK6;IL1B;ITGB3;PTGS2;PDGFRA;CCL3;GNG4;GNB4;CCL4;CCL4L2;AKT3;CCL3L3;CXCL12;CGAS;FAS;E2F2;CCL2;ADCY3;CREB5;CCR1;CCR5;IFNA4;GNG2;PTGER2;FADD;GNG10;PRKCG;IFNA1;CXCR2;GNGT2;ITGAV;MAPK11;IL10RA;BCAR1;MYC;PTGER1;PTGER4;MAPK12;GNA12;TAP2;CCR3;CDKN1A;PRKCA;PXN;EIF4EBP1;HLA-G;BID;TAP1;GNA13;FASLG;NRAS;PIK3CA;GNG5;GNAI3;IFNA8;RB1;ADCY4;RAC2;CCL5;IFNA13;E2F1;E2F3;CXCR4;TNFRSF1A;RAC3;GNB5;IFNB1;PRKACB;GNAI2;PLCB1;JAK1;CCND1;PIK3CD;GNG11;MAP2K1;ELK1;GNG12;PLCB4
gsea,Transcriptional misregulation in cancer,0.4631412299646717,2.032313502136479,1.000000e-03,7.045787e-02,1.530000e-01,65/189,17.25%,IL6;IL1R2;WT1;CXCL8;MMP3;GZMB;HMGA2;IGF1;CCNA2;PLAU;FCGR1A;CDK14;MMP9;NR4A3;PPARG;BCL2A1;FLT1;HOXA11;MITF;MPO;ZEB1;SLC45A3;BMP2K;CD86;BIRC3;IL2RB;ITGB7;H3C2;RUNX2;ITGAM;IGFBP3;PLAT;CCNA1;MET;HOXA9;H3C10;MAF;DEFA3;GADD45A;GRIA3;H3C3;HOXA10;MYC;CD14;CEBPE;CSF1R;CDKN1A;PML;GADD45B;TLX1;CD40;FLI1;SPI1;PAX8;CEBPB;RUNX1T1;H3C15;H3C11;H3C12;FOXO1;H3C7;ERG;HDAC2;TLX3;H3C1
gsea,Osteoclast differentiation,0.5925289340156602,2.0313539267894876,1.006036e-02,6.341208e-02,1.530000e-01,39/126,9.40%,FOSL1;LILRA5;IL1A;FHL2;FCGR3B;LILRB2;IL1B;TNFSF11;ITGB3;LILRA6;FCGR1A;LILRB4;FCGR2B;LILRA1;PPARG;LILRB3;CTSK;LILRB1;AKT3;MITF;TNFRSF11B;LILRB5;SIRPB1;SIRPA;IFNG;NCF1;OSCAR;FCGR3A;FOSL2;SIRPG;LCP2;TGFB2;RELB;NCF2;FCGR2A;SOCS3;MAPK11;MAPK12;CSF1R
gsea,HIF-1 signaling pathway,0.44613891254202453,2.0114593861073624,4.149378e-03,6.687993e-02,1.660000e-01,40/109,19.31%,IL6;ANGPT2;EGLN3;SERPINE1;IGF1;SLC2A1;TLR4;FLT1;ALDOA;AKT3;PFKP;HK3;IFNG;PDK1;HK2;NOS2;LDHAL6B;PRKCG;EGLN1;HIF1A;CDKN1A;CYBB;TEK;PRKCA;EDN1;EIF4EBP1;HMOX1;NOS3;TIMP1;TFRC;PIK3CA;PFKFB3;PDHA2;EIF4E;ALDOC;CAMK2A;LDHA;LDHC;GAPDH;CUL2
gsea,Tuberculosis,0.4758422543517112,2.0088994174266075,1.162791e-02,6.254512e-02,1.670000e-01,48/177,12.73%,IL6;SPHK1;IL1A;FCGR3B;CLEC4E;CD209;TLR6;IL1B;FCGR1A;FCGR2B;TGFB3;TLR4;IL10;IL23A;AKT3;LBP;IFNG;IRAK2;ITGAM;NOD2;NOS2;FCGR3A;IFNA4;FADD;CR1;RIPK2;IFNA1;PLA2R1;TLR1;TGFB2;MRC2;MRC1;FCGR2A;MAPK11;IL10RA;MAPK12;BCL10;CD14;CYP27B1;ITGAX;JAK2;PLK3;FCER1G;ATP6V0D2;VDR;CLEC7A;BID;LSP1
gsea,NOD-like receptor signaling pathway,0.4477559108848553,2.008767132224827,3.984064e-03,5.773396e-02,1.670000e-01,57/178,17.27%,IL6;CXCL8;CXCL3;MEFV;IL1B;AIM2;CASP5;CXCL1;NLRP12;GBP5;TLR4;NLRP3;DEFB4A;ANTXR1;TNFAIP3;BIRC3;GBP1;NAMPT;NLRP7;CCL2;TRPM2;NOD2;ANTXR2;IFNA4;FADD;RIPK2;IFNA1;DEFA3;GBP4;NAIP;TRPV2;GBP2;MAPK11;GBP3;PANX1;MAPK12;NLRC4;IFI16;CYBB;DEFB103B;PSTPIP1;TICAM1;OAS1;DEFB4B;OAS3;P2RX7;IL18;CARD6;IFNA8;TRAF3;CXCL2;OAS2;STAT1;CTSB;DNM1L;CCL5;IFNA13
gsea,Fatty acid degradation,-0.5329057960017022,-1.9997767050394346,9.523810e-03,1.722157e-01,1.800000e-01,20/43,20.13%,ADH1C;CPT1B;ADH1B;ACADL;ACADSB;ADH7;CPT2;ADH6;ALDH3A2;ACSBG1;HADH;ACSBG2;ALDH2;ADH1A;ACSL6;ACAT1;ACADS;ALDH7A1;GCDH;ACSL5
gsea,Kaposi sarcoma-associated herpesvirus infection,0.4238826685654945,1.9951436839360315,3.992016e-03,6.068734e-02,1.850000e-01,48/193,14.98%,IL6;CXCL8;CXCL3;ANGPT2;CDK6;PTGS2;CXCL1;FGF2;GNG4;GNB4;PDGFB;AKT3;CD86;CLEC2B;FAS;E2F2;CCR8;LEF1;CCR1;CCR5;IFNA4;GNG2;FADD;GNG10;PIK3CG;IFNA1;PIK3R5;MICB;GNGT2;MAPK11;MYC;MAPK12;JAK2;RCAN1;HIF1A;CCR3;CDKN1A;HCK;TICAM1;PREX1;HLA-G;BID;NRAS;PIK3CA;GNG5;IFNA8;TRAF3;RB1
gsea,Regulation of actin cytoskeleton,0.43833242213564555,1.98517937714107,2.004008e-03,6.093505e-02,1.950000e-01,71/216,14.43%,ITGA11;DIAPH3;FGF7;FGF5;LPAR4;ITGB3;ITGA5;ARHGEF4;PDGFRA;MYLK;ITGA2;FGF2;BDKRB1;PDGFB;WASF1;MYLK2;IQGAP3;FGF1;FGD1;LPAR5;ITGB8;CXCL12;FGF23;BDKRB2;ITGA6;ITGB7;ITGAM;ARPC1B;INSRR;ITGB4;PDGFRB;CHRM4;ACTN1;MRAS;FGF16;FGFR1;ITGA1;FN1;SSH1;ITGAV;PFN3;TIAM1;F2R;ITGA4;BCAR1;PIP4K2A;MYL10;VCL;ITGAX;NCKAP1L;LPAR1;GNA12;ITGB5;PDGFC;PXN;APC2;MYL9;VAV3;PFN2;VAV1;GNA13;LIMK1;MYH11;ITGA3;MYL2;FGF3;NRAS;RDX;PIK3CA;ITGB2;PPP1R12A
gsea,Pyruvate metabolism,-0.49930681441128827,-1.9661887629587498,3.780718e-03,1.633234e-01,2.020000e-01,15/47,18.02%,ACSS1;LDHD;ADH1C;ADH1B;ACACB;ADH7;ADH6;ALDH3A2;PKLR;ALDH2;ADH1A;ACSS2;ACAT1;ALDH7A1;ACYP2
gsea,Glycosaminoglycan biosynthesis,0.5600749634315328,1.9609274944945363,1.000000e-03,6.873771e-02,2.170000e-01,25/53,16.09%,HS3ST3A1;DSE;CHST1;XYLT1;CHST3;HS3ST3B1;CHST11;CHSY3;CSGALNACT1;CHSY1;EXTL1;EXTL3;CHST4;CHST6;ST3GAL2;NDST3;CHST15;B4GALT4;HS3ST1;CSGALNACT2;EXT1;CHPF;HS2ST1;B4GALT1;EXTL2
gsea,Natural killer cell mediated cytotoxicity,0.5544109977564341,1.9443581512410335,1.750973e-02,7.496672e-02,2.380000e-01,50/124,17.27%,FCGR3B;GZMB;RAET1E;ULBP2;KLRC1;NCR1;KLRC2;KLRD1;RAET1L;KIR2DL3;KLRC3;SH2D1B;SHC4;KIR3DL3;KIR3DL2;RAET1G;FAS;IFNG;KIR3DL1;KIR2DS4;FCGR3A;IFNA4;PRKCG;IFNA1;HCST;LCP2;MICB;SH2D1A;KIR2DL1;PRKCA;FCER1G;PRF1;HLA-G;VAV3;VAV1;CD247;BID;CD244;ICAM2;LCK;FASLG;NRAS;PIK3CA;ITGB2;SH3BP2;IFNA8;TNFRSF10A;VAV2;RAC2;IFNA13
gsea,Hepatitis B,0.40835895832458285,1.9435579081574483,2.016129e-02,7.135235e-02,2.380000e-01,46/161,18.23%,IL6;CXCL8;CCNE1;CCNA2;EGR3;MMP9;BIRC5;TGFB3;TLR4;EGR2;AKT3;FAS;E2F2;CREB5;CCNA1;IFNA4;FADD;PRKCG;IFNA1;TGFB2;MAPK11;MYC;MAPK12;JAK2;HSPG2;CDKN1A;TICAM1;PRKCA;JAK3;TGFBR1;BID;STAT4;FASLG;NRAS;PIK3CA;IFNA8;TRAF3;RB1;TGFB1;STAT1;IFIH1;IFNA13;E2F1;CDK2;E2F3;STAT5A
gsea,Salmonella infection,0.35401958616937734,1.9430273614950668,1.953125e-02,6.779252e-02,2.380000e-01,88/248,25.06%,IL6;FLNC;CXCL8;AHNAK2;TLR6;IL1B;CASP5;TUBB3;TUBB6;TLR4;AKT3;NLRP3;BIRC3;RHOJ;KLC3;KIF5A;ARPC1B;LEF1;CYTH4;MLKL;FADD;PIK3CG;RIPK2;NAIP;PFN3;MAPK11;MYC;MAPK12;MYL10;CD14;NLRC4;NCKAP1L;TUBA3C;PTPRC;TUBA1C;SNX9;TUBAL3;TUBA1B;RHOH;MYL9;TUBA4A;PFN2;AHNAK;DYNC1I1;IL18;MYL2;PIK3CA;RALA;FLNA;TNFRSF10A;ACTR3;TCF7;ANXA2;KPNA4;BIRC2;KPNA3;TUBB2A;MYL7;GAPDH;RRAS;KPNA1;TNFRSF1A;EXOC5;PODXL;S100A10;CYFIP1;VPS18;PIK3CD;TNFRSF10B;MAP2K1;NCKAP1;PYCARD;ARPC1A;ARPC2;CHUK;MAP3K7;M6PR;CYCS;DYNLT3;IRAK1;CSE1L;TUBB;MYD88;DYNLL1;TUBA3E;FLNB;CASP4;DYNC1I2
gsea,p53 signaling pathway,0.4619701041731556,1.9418919985306167,1.372549e-02,6.520793e-02,2.380000e-01,15/73,5.18%,CDK6;SERPINB5;SERPINE1;GTSE1;CHEK1;IGF1;RRM2;CCNE1;PMAIP1;CCNB2;CDK1;THBS1;FAS;CCNB1;IGFBP3
gsea,Chemokine signaling pathway,0.5447483976868348,1.9416808380068904,1.200000e-02,6.216177e-02,2.380000e-01,71/189,14.68%,CCL26;CCL7;CXCL5;CXCL8;CCL11;CCL24;CXCL3;CCL8;CXCR1;PPBP;CXCL1;PF4;CCL3;CXCL6;GNG4;CCL20;GNB4;CCL4;CCL4L2;CCL21;AKT3;SHC4;CCL3L3;CXCL11;CCL1;CXCL12;CXCL10;NCF1;CCL2;CCR8;ADCY3;CCL18;CCR1;CCR5;GNG2;GNG10;PIK3CG;PF4V1;DOCK2;CCL13;CCR10;PIK3R5;CCL23;CXCR2;GNGT2;GRK5;TIAM1;CXCL9;BCAR1;CXCR6;JAK2;FGR;CCL22;RAP1B;CCR3;HCK;PXN;JAK3;PREX1;CXCL13;CCR2;XCL2;WAS;VAV3;VAV1;NRAS;ITK;PIK3CA;GNG5;GNAI3;CXCR3
